path,line,kind,raw,reason
admin/tool/uckkintegrity/classes/output/case_list.php,167,php_get_string_dynamic,"get_string($key, 'tool_uckkintegrity')",dynamic_identifier_or_expression
admin/tool/uckkintegrity/report.php,243,php_get_string_dynamic,"get_string($typekey, 'tool_uckkintegrity')",dynamic_identifier_or_expression
admin/tool/uckkintegrity/report.php,248,php_get_string_dynamic,"get_string($severitykey, 'tool_uckkintegrity')",dynamic_identifier_or_expression
admin/tool/uckkintegrity/report.php,253,php_get_string_dynamic,"get_string($statuskey, 'tool_uckkintegrity')",dynamic_identifier_or_expression
admin/tool/uckkseed/classes/local/validation_result.php,855,php_get_string_dynamic,"get_string($key, 'tool_uckkseed')",dynamic_identifier_or_expression
admin/tool/uckkseed/classes/output/renderer.php,476,php_get_string_dynamic,"get_string($key, 'tool_uckkseed')",dynamic_identifier_or_expression
admin/tool/uckkseed/classes/output/renderer.php,490,php_get_string_dynamic,"get_string($key, 'tool_uckkseed')",dynamic_identifier_or_expression
admin/tool/uckkseed/classes/output/renderer.php,506,php_get_string_dynamic,"get_string($key, 'tool_uckkseed')",dynamic_identifier_or_expression
admin/tool/uckkseed/classes/output/renderer.php,522,php_get_string_dynamic,"get_string($key, 'tool_uckkseed')",dynamic_identifier_or_expression
admin/tool/uckkseed/classes/output/renderer.php,536,php_get_string_dynamic,"get_string($severity, 'tool_uckkseed')",dynamic_identifier_or_expression
admin/tool/uckkseed/classes/output/seed_summary.php,857,php_get_string_dynamic,"get_string($key, self::COMPONENT)",dynamic_identifier_or_expression
admin/tool/uckkseed/classes/output/validation_report.php,736,php_get_string_dynamic,"get_string($key, self::COMPONENT)",dynamic_identifier_or_expression
blocks/uckk_dashboard/classes/output/assembly_summary.php,357,php_get_string_dynamic,"get_string($stringkey, 'block_uckk_dashboard')",dynamic_identifier_or_expression
blocks/uckk_dashboard/classes/output/assembly_summary.php,374,php_get_string_dynamic,"get_string($stringkey, 'block_uckk_dashboard')",dynamic_identifier_or_expression
blocks/uckk_dashboard/classes/output/challenge_summary.php,404,php_get_string_dynamic,"get_string($stringkey, 'block_uckk_dashboard')",dynamic_identifier_or_expression
blocks/uckk_dashboard/classes/output/dashboard_block.php,562,php_get_string_dynamic,"get_string($stringkey, 'block_uckk_dashboard')",dynamic_identifier_or_expression
